5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,6C,6C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,6C,6C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
5C,5C,5C,5C,5C,5C,5C,5C,5C,7C,7C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
4C,4C,4C,4C,4C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
4C,4C,4C,4C,4C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
4C,4C,4C,4C,4C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
4C,4C,4C,4C,4C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
4C,4C,4C,4C,4C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C,5C
